id,group,type,matchday,local_date,local_date_parsed,home_team_id,away_team_id,home_team,away_team,home_code,away_code,home_score,away_score,home_scorers,away_scorers,stadium_id,finished,time_elapsed,goal_diff,total_goals,match_result
56,E,group,3,06/25/2026 16:00,2026-06-25 16:00:00,20,17,Ecuador,Germany,,,2,1,"{""Nilsvn Angvlv 9'"",""Gvnzalv Plata 77'""}","{""Leroy Sané 2'""}",11,True,finished,1,3,home_win
68,L,group,3,06/27/2026 17:00,2026-06-27 17:00:00,46,47,Croatia,Ghana,,,0,0,null,null,10,False,notstarted,0,0,not_finished
69,J,group,3,06/27/2026 21:00,2026-06-27 21:00:00,38,39,Algeria,Austria,,,0,0,null,null,6,False,notstarted,0,0,not_finished
74,R32,r32,4,06/29/2026 16:30,2026-06-29 16:30:00,17,0,Germany,3rd Group A/B/C/D/F,,,0,0,null,null,9,False,notstarted,0,0,not_finished
81,R32,r32,4,07/01/2026 17:00,2026-07-01 17:00:00,13,0,United States,3rd Group B/E/F/I/J,,,0,0,null,null,15,False,notstarted,0,0,not_finished
103,3RD,third,8,07/18/2026 17:00,2026-07-18 17:00:00,0,0,Loser Match 101,Loser Match 102,,,0,0,null,null,8,False,notstarted,0,0,not_finished
15,G,group,1,06/15/2026 12:00,2026-06-15 12:00:00,25,26,Belgium,Egypt,,,1,1,"{""Mohamed Hany 66'""}","{""Emam Ashour 20'""}",14,True,finished,0,2,draw
34,E,group,2,06/20/2026 19:00,2026-06-20 19:00:00,20,18,Ecuador,Curaçao,,,0,0,null,null,6,True,finished,0,0,draw
54,B,group,3,06/24/2026 12:00,2026-06-24 12:00:00,8,5,Switzerland,Canada,,,2,1,"{""Rubén Vargas 46'"",""Jvhan Mnzambi 57'""}","{""Prvmis Divid 76'""}",13,True,finished,1,3,home_win
57,D,group,3,06/25/2026 19:00,2026-06-25 19:00:00,14,15,Paraguay,Australia,,,0,0,null,null,15,True,finished,0,0,draw
64,G,group,3,06/26/2026 20:00,2026-06-26 20:00:00,28,25,New Zealand,Belgium,,,0,0,null,null,13,False,notstarted,0,0,not_finished
75,R32,r32,4,06/29/2026 19:00,2026-06-29 19:00:00,0,10,Winner Group F,Morocco,,,0,0,null,null,3,False,notstarted,0,0,not_finished
78,R32,r32,4,06/30/2026 12:00,2026-06-30 12:00:00,0,0,Runner-up Group E,Runner-up Group I,,,0,0,null,null,4,False,notstarted,0,0,not_finished
79,R32,r32,4,06/30/2026 19:00,2026-06-30 19:00:00,1,0,Mexico,3rd Group C/E/F/H/I,,,0,0,null,null,1,False,notstarted,0,0,not_finished
80,R32,r32,4,07/01/2026 12:00,2026-07-01 12:00:00,0,0,Winner Group L,3rd Group E/H/I/J/K,,,0,0,null,null,7,False,notstarted,0,0,not_finished
82,R32,r32,4,07/01/2026 13:00,2026-07-01 13:00:00,0,0,Winner Group G,3rd Group A/E/H/I/J,,,0,0,null,null,14,False,notstarted,0,0,not_finished
89,R16,r16,5,07/04/2026 17:00,2026-07-04 17:00:00,0,0,Winner Match 74,Winner Match 77,,,0,0,null,null,10,False,notstarted,0,0,not_finished
99,QF,qf,6,07/11/2026 17:00,2026-07-11 17:00:00,0,0,Winner Match 91,Winner Match 92,,,0,0,null,null,8,False,notstarted,0,0,not_finished
